Service Name,Physical Address Line 1,Physical Address Line 2,Physical Suburb,Physical State,Physical Post Code,2019 Aged Care Planning Region (ACPR),Care Type,Residential Places,Home Care Places,Restorative Care Places,Provider Name,Organisation Type,ABS Remoteness,Latitude,Longitude
Silver Chain North Metropolitan HCP Level 2,"Suite 6, 40 Hasler Road",,OSBORNE PARK,WA,6017,Metropolitan North,Home Care,,,,Silver Chain Group Limited,Charitable,Major Cities of Australia,-31.91105,115.81031
Silver Chain Mid West HCP Level 3,"Suite 2, 114 Sanford Street",,GERALDTON,WA,6530,Mid West,Home Care,,,,Silver Chain Group Limited,Charitable,Outer Regional Australia,-28.77553039,114.6120015
Silver Chain South West HCP Level 3,1 MITCHELL Crescent,,BUNBURY,WA,6230,South West,Home Care,,,,Silver Chain Group Limited,Charitable,Inner Regional Australia,-33.34729582,115.6444846
Silver Chain Wheatbelt HCP Level 3,79 Stirling Terrace,,TOODYAY,WA,6556,Wheatbelt,Home Care,,,,Silver Chain Group Limited,Charitable,Inner Regional Australia,-31.55038752,116.4663852
Southern Cross South West HCP,"Unit 3, 19 Bussell Highway",,BUSSELTON,WA,6280,South West,Home Care,,,,Southern Cross Care (WA) Inc,Religious,Inner Regional Australia,-33.65281,115.339411
Guwardi Ngadu,Forrest Road,,FITZROY CROSSING,WA,6765,Kimberley,National Aboriginal and Torres Strait Islander Aged Care Program,24,8,,Uniting Church Homes,Religious,Very Remote Australia,-18.18735,125.5684
Gnowangerup MPS,0 Yougenup Road,,GNOWANGERUP,WA,6335,Great Southern,Multi-Purpose Service,8,,,WA Country Health Service,State Government,Remote Australia,-33.92743816,117.996714
Kojonup MPS,0 Spring Street,,KOJONUP,WA,6395,Great Southern,Multi-Purpose Service,4,,,WA Country Health Service,State Government,Outer Regional Australia,-33.82970666,117.158175
Kellerberrin MPS,51-53 Gregory Street,,KELLERBERRIN,WA,6410,Wheatbelt,Multi-Purpose Service,4,3,,WA Country Health Service,State Government,Outer Regional Australia,-31.63003523,117.7157372
Narembeen MPS,Lot 27062 Ada Street,,NAREMBEEN,WA,6369,Wheatbelt,Multi-Purpose Service,14,4,,WA Country Health Service,State Government,Remote Australia,-32.06227041,118.3922698
Wyalkatchem MPS,9 Honour Avenue,,WYALKATCHEM,WA,6485,Wheatbelt,Multi-Purpose Service,11,4,,WA Country Health Service,State Government,Outer Regional Australia,-31.17793703,117.3841062
Southern Cross MPS,Lot 103 Coolgardie Road,,SOUTHERN CROSS,WA,6426,Wheatbelt,Multi-Purpose Service,12,4,,WA Country Health Service,State Government,Remote Australia,-31.22944884,119.3374285
Kununoppin MPS,2 Leake Street,,KUNUNOPPIN,WA,6488,Wheatbelt,Multi-Purpose Service,8,1,,WA Country Health Service,State Government,Remote Australia,-31.11030974,117.9220643
Goomalling MPS,18706 Forrest Street,,GOOMALLING,WA,6460,Wheatbelt,Multi-Purpose Service,14,3,,WA Country Health Service,State Government,Outer Regional Australia,-31.30169132,116.830185
Leonora MPS,55 Sadie Canning Drive,,LEONORA,WA,6438,Goldfields,Multi-Purpose Service,6,1,,WA Country Health Service,State Government,Very Remote Australia,-28.89584,121.337501
Acacia Living Group Wheatbelt Home Care,12 19th Avenue,,JURIEN BAY,WA,6516,Wheatbelt,Home Care,,,,Acacia Living Group Limited,Charitable,Outer Regional Australia,-30.30312468,115.0457376
Southcare Packaged Care Level 3,54 Bickley Crescent,,MANNING,WA,6152,Metropolitan South East,Home Care,,,,Southcare Inc,Charitable,Major Cities of Australia,-32.011139,115.869262
Capecare Dunsborough,171 Naturaliste Terrace,,DUNSBOROUGH,WA,6281,South West,Residential,82,,,Ray Village Aged Services Inc,Charitable,Inner Regional Australia,-33.611289,115.103814
CHI South West Metro HCP,108 Fern Road,,WILSON,WA,6107,Metropolitan South East,Home Care,,,,Catholic Homes Incorporated,Religious,Major Cities of Australia,-32.02263878,115.913388
Regis Woodlands,10 Sabina Street,,WOODLANDS,WA,6018,Metropolitan North,Residential,123,,,Regis Aged Care Pty Ltd,Private Incorporated Body,Major Cities of Australia,-31.910955,115.787131
Umbrella Home Care Packages,39 Abernethy Road,,BELMONT,WA,6104,Metropolitan South East,Home Care,,,,Umbrella Multicultural Community Care Services Inc.,Community Based,Major Cities of Australia,-31.948804,115.922106
Treeby Parklands Care Community,5 Abelia Road,,TREEBY,WA,6164,Metropolitan South West,Residential,120,,,DPG Services Pty Ltd,Private Incorporated Body,Major Cities of Australia,-32.1218344,115.8806172
Southern Districts Home Care,"Suite 8, 122 Forrest Road",,ARMADALE,WA,6112,Metropolitan South East,Home Care,,,,Southern Districts Support Association Incorporated,Charitable,Major Cities of Australia,-32.158005,116.002136
Yaandina Home Care,51 Hampton Street,,ROEBOURNE,WA,6718,Pilbara,Home Care,,,,Yaandina Community Services Limited,Community Based,Remote Australia,-20.776342,117.144021
CHI South East Metro HCP,123 Burswood Road,,BURSWOOD,WA,6100,Metropolitan South East,Home Care,,,,Catholic Homes Incorporated,Religious,Major Cities of Australia,-31.96634,115.89605
Regis Port Coogee,72 Pantheon Avenue,,NORTH COOGEE,WA,6163,Metropolitan South West,Residential,139,,,Regis Aged Care Pty Ltd,Private Incorporated Body,Major Cities of Australia,-32.102525,115.763687
TPG Aged Care,121 Moolanda Boulevard,,KINGSLEY,WA,6026,Metropolitan North,Home Care,,,,Chanticleer Holdings Pty Ltd,Private Incorporated Body,Major Cities of Australia,-31.80798,115.80493
Carealot Home Health Services,666 Stirling Highway,,MOSMAN PARK,WA,6012,Metropolitan North,Home Care,,,,Carealot Home Health Services Pty Ltd,Private Incorporated Body,Major Cities of Australia,-32.011025,115.75594
Stonefield Asset Pty Ltd t/a Comfort Keepers,463 Scarborough Beach Road,,OSBORNE PARK,WA,6017,Metropolitan North,Home Care,,,,Stonefield Asset Pty Limited,Private Incorporated Body,Major Cities of Australia,-31.90674,115.80773
Acacia Living Group Metro South West Home Care,RSL Care WA 82 Oakmont Avenue,,MANDURAH,WA,6210,Metropolitan South West,Home Care,,,,Acacia Living Group Limited,Charitable,Major Cities of Australia,-32.501533,115.743723
Focused Care Home Care Packages,77 Boulder Road,,MALAGA,WA,6090,Metropolitan East,Home Care,,,,Focused Care (WA) Pty Ltd,Private Incorporated Body,Major Cities of Australia,-31.864469,115.90852
St Louis Estate Home Care,10 Albert Street,,CLAREMONT,WA,6010,Metropolitan North,Home Care,,,,CHC Home and Aged Care Pty Ltd,Private Incorporated Body,Major Cities of Australia,-31.98392,115.774731
Community Vision Inc.,16 Clarke Crescent,,JOONDALUP,WA,6027,Metropolitan North,Home Care,,,,Community Vision Australia Limited,Charitable,Major Cities of Australia,-31.748,115.766701
Chizim Home Care Packages,14 Longnor Parkway,,ALKIMOS,WA,6038,Metropolitan North,Home Care,,,,Chizim Care Services Incorporated,Community Based,Major Cities of Australia,-31.623846,115.699845
IAC Home Care,33 Kent Road,,MARANGAROO,WA,6064,Metropolitan North,Home Care,,,,Italian Aged Care Incorporated,Community Based,Major Cities of Australia,-31.830433,115.822859
Mercy Community Services Incorporated,185 Maddington Road,,MADDINGTON,WA,6019,Metropolitan South East,Short Term Restorative Care (STRC),,,60,Mercy Community Services Limited,Charitable,Major Cities of Australia,-32.042413,116.004767
Amana Living Metro North STRC,"Level 1, 1-9 Tanunda Drive",,RIVERVALE,WA,6103,Metropolitan South East,Short Term Restorative Care (STRC),,,25,Amana Living Incorporated,Religious,Major Cities of Australia,-31.951976,115.915713
Amana Living Metro South West STRC,"Level 1, 1-9 Tanunda Drive",,RIVERVALE,WA,6103,Metropolitan South East,Short Term Restorative Care (STRC),,,24,Amana Living Incorporated,Religious,Major Cities of Australia,-31.951976,115.915713
Catholic Homes STRC,"224 Swan Street, West",,GUILDFORD,WA,6055,Metropolitan East,Short Term Restorative Care (STRC),,,58,Catholic Homes Incorporated,Religious,Major Cities of Australia,-31.896428,115.961364
Silver Chain Short Term Restorative Care - Great Southern,91 SEYMOUR Street,,MIRA MAR,WA,6330,Great Southern,Short Term Restorative Care (STRC),,,10,Silver Chain Group Limited,Charitable,Outer Regional Australia,-35.01073368,117.9022962
Silver Chain Short Term Restorative Care - South West,1 MITCHELL Crescent,,CAREY PARK,WA,6230,South West,Short Term Restorative Care (STRC),,,12,Silver Chain Group Limited,Charitable,Inner Regional Australia,-33.34729582,115.6444846
Avivo: Live Life Mid West Level 3 and 4,"Level 1, 114 Sanford Street",,GERALDTON,WA,6530,Mid West,Home Care,,,,Avivo: Live Life Inc,Charitable,Outer Regional Australia,-28.776777,114.609065
Stirling Community Care,25 Cedric Street,,STIRLING,WA,6021,Metropolitan North,Home Care,,,,City of Stirling,Local Government,Major Cities of Australia,-31.890121,115.808462
Pearl Home Care,123 Pinetree Gully Road -,,WILLETTON,WA,6155,Metropolitan South East,Home Care,,,,Pearl Home Care Pty Ltd,Private Incorporated Body,Major Cities of Australia,-32.061961,115.8768
East Pilbara Independence Support,702 Les Tutt Drive,,NEWMAN,WA,6753,Pilbara,Home Care,,,,EPIS Incorporated,Community Based,Very Remote Australia,-23.348103,119.737356
My Flex Health Services Pty Ltd,"Unit 1, 27 Brewer Street",,PERTH,WA,6000,Metropolitan East,Home Care,,,,MY FLEX HEALTH SERVICES PTY LTD,Private Incorporated Body,Major Cities of Australia,-31.946989,115.869272
"Home Care Assistance, West Coast Perth","Unit 16, 199 Balcatta Road",,BALCATTA,WA,6021,Metropolitan North,Home Care,,,,Dementia Venture Pty Ltd,Private Incorporated Body,Major Cities of Australia,-31.86032,115.81396
Dowerin Home and Community Care,East Street,,DOWERIN,WA,6461,Wheatbelt,Home Care,,,,Shire of Dowerin,Local Government,Outer Regional Australia,-31.195094,117.03349
CPE Group,63 Lindsay Street,14-16 Victoria Avenue,PERTH,WA,6000,Metropolitan East,Home Care,,,,CPE Link Pty Ltd,Private Incorporated Body,Major Cities of Australia,-31.94484,115.864171
Shire of Manjimup Home and Community Care,49 Rose Street,,MANJIMUP,WA,6258,South West,Home Care,,,,Shire of Manjimup,Local Government,Outer Regional Australia,-34.239893,116.145343
Ocean Gardens Inc,Ocean Gardens Retirement Villa,60 Kalinda Drive,CITY BEACH,WA,6015,Metropolitan North,Home Care,,,,Ocean Gardens (Inc),Charitable,Major Cities of Australia,-31.930497,115.770376
Country Mile Home Care,14 Leedshill Way,,AUSTRALIND,WA,6233,South West,Home Care,,,,Country Mile Home Care Pty Ltd,Private Incorporated Body,Inner Regional Australia,-33.274521,115.72434
Bedingfeld Park Inc Home Care Services,Bedingfeld Park Lodge,4 Bedingfeld Road,PINJARRA,WA,6208,Metropolitan South West,Home Care,,,,Bedingfeld Park Inc,Community Based,Major Cities of Australia,-32.63911,115.87268
Morrissey Homestead Inc.,119-123 South Western Highway,,GLEN IRIS,WA,6230,South West,Home Care,,,,Morrissey Homestead Incorporated,Community Based,Inner Regional Australia,-33.351611,115.67465
Companion Home Care Pty Ltd,21 A Kearns Crescent,,ARDROSS,WA,6153,Metropolitan South West,Home Care,,,,Companion Home Care Pty Ltd,Private Incorporated Body,Major Cities of Australia,-32.020375,115.835235
Aegis Shorehaven,49 Scotthorn Drive,,ALKIMOS,WA,6038,Metropolitan North,Residential,134,,,Aegis Aged Care Group Pty Ltd,Private Incorporated Body,Major Cities of Australia,-31.60173,115.69412
Aegis Shoreline,2 Kaleep Close,,NORTH COOGEE,WA,6163,Metropolitan South West,Residential,233,,,Aegis Aged Care Group Pty Ltd,Private Incorporated Body,Major Cities of Australia,-32.0815856,115.7604793
Alfred Cove Care Community,94 Kitchener Road,,ALFRED COVE,WA,6154,Metropolitan South West,Residential,119,,,DPG Services Pty Ltd,Private Incorporated Body,Major Cities of Australia,-32.036685,115.811408
SwanCare Ningana,3 Allen Court,,BENTLEY,WA,6102,Metropolitan South East,Residential,131,,,SwanCare Group Inc.,Charitable,Major Cities of Australia,-31.999921,115.896605
Honour Care,134 Acton Avenue,,RIVERVALE,WA,6103,Metropolitan South East,Home Care,,,,Jaldha Home Care Service Pty Ltd,Private Incorporated Body,Major Cities of Australia,-31.96089,115.920691
Melville Cares Inc,June Barton House,21-23 Hammad Street,PALMYRA,WA,6157,Metropolitan South West,Home Care,,,,Melville Cares Inc,Community Based,Major Cities of Australia,-32.03885,115.78194
Clarence Estate Home Care,55 Hardie Road,,ALBANY,WA,6330,Great Southern,Home Care,,,,Fresh Fields Aged Care Pty Ltd,Private Incorporated Body,Outer Regional Australia,-35.002128,117.902435
Godrich Health Care,"Unit 9, 8 Clive Street",,WEST PERTH,WA,6005,Metropolitan East,Home Care,,,,Godrich Health Care Pty Ltd,Private Incorporated Body,Major Cities of Australia,-31.946481,115.84223
Juniper Charles Jenkins,4-10 Hayman Road,,BENTLEY,WA,6102,Metropolitan South East,Transition Care,,,60,Government of Western Australia,State Government,Major Cities of Australia,-32.005163,115.898576
The Richardson West Perth,32 Richardson Street,,WEST PERTH,WA,6005,Metropolitan East,Residential,92,,,Oryx Communities AP Pty Ltd,Private Incorporated Body,Major Cities of Australia,-31.948099,115.837665
South West Community Care,25 James Stirling Place,,HARVEY,WA,6220,South West,Home Care,,,,Harvey Health and Community Services Group (Inc),Community Based,Inner Regional Australia,-33.074729,115.913229
Avida Care Limited,29 Leisure Way,,HALLS HEAD,WA,6210,Metropolitan South West,Home Care,,,,Avida Care Limited,Community Based,Major Cities of Australia,-32.547641,115.711981
Platinum Healthcare Group,70 Verde Drive,,JANDAKOT,WA,6164,Metropolitan South West,Home Care,,,,Platinum Healthcare Group Pty Ltd,Private Incorporated Body,Major Cities of Australia,-32.122272,115.866022
Peel Community Care Inc.,Lot 3001 Dixon Avenue,,PINJARRA,WA,6208,Metropolitan South West,Home Care,,,,Peel Community Care Inc,Charitable,Major Cities of Australia,-32.630338,115.862326
The CareSide,"Level 1, 384 Rokeby Road",,SUBIACO,WA,6008,Metropolitan North,Home Care,,,,The Care Side Pty Ltd,Private Incorporated Body,Major Cities of Australia,-31.955614,115.824204
InCasa Aged Care and Community Services,"Unit 3, 115 Lefroy Road",,BEACONSFIELD,WA,6162,Metropolitan South West,Home Care,,,,Tre Cuori Pty Ltd,Private Incorporated Body,Major Cities of Australia,-32.06742,115.775
Multicultural Services Centre of Western Australia,20 View Street,,NORTH PERTH,WA,6006,Metropolitan East,Home Care,,,,Multicultural Services Centre of Western Australia,Community Based,Major Cities of Australia,-31.931449,115.856654
Southern Plus East Fremantle,15 Wolsely Street,,EAST FREMANTLE,WA,6158,Metropolitan South West,Residential,83,,,Southern Cross Care (WA) Inc,Religious,Major Cities of Australia,-32.036511,115.766321
The Carers Home Care Service,"Unit 1, 4 Milson Place",,O'CONNOR,WA,6163,Metropolitan South West,Home Care,,,,Westend Management Australia Pty Ltd,Private Incorporated Body,Major Cities of Australia,-32.060001,115.78734
SHINE Community Services,81 Forrest Street,,COTTESLOE,WA,6011,Metropolitan North,Home Care,,,,TAPSS Community Care (Inc),Charitable,Major Cities of Australia,-31.99649,115.761501
St Jude.s Home Care Services,165 Wright Street,,KEWDALE,WA,6105,Metropolitan South East,Home Care,,,,Pu-Fam Pty Ltd,Private Incorporated Body,Major Cities of Australia,-31.966151,115.931051
Home Instead Perth,"Unit 3, 24 Parkland Road",355 Scarborough Beach Road,OSBORNE PARK,WA,6017,Metropolitan North,Home Care,,,,Grace and Ease Pty Ltd,Private Incorporated Body,Major Cities of Australia,-31.916495,115.814273
Progressive Home Care,"Unit C5, 1537 Albany Highway",,BECKENHAM,WA,6107,Metropolitan South East,Home Care,,,,Progressive Home Care Pty Ltd,Private Incorporated Body,Major Cities of Australia,-32.028361,115.95319
Life Without Barriers Perth,"Unit 1, 26 Dugdale Street",,WARWICK,WA,6024,Metropolitan North,Home Care,,,,Life Without Barriers,Community Based,Major Cities of Australia,-31.842425,115.808732
Life Without Barriers Broome,"Unit 1-2, 12 Coghlan Street",,BROOME,WA,6728,Kimberley,Home Care,,,,Life Without Barriers,Community Based,Remote Australia,-17.953454,122.237509
Life Without Barriers Margaret River,183 Spencer Street,,BUNBURY,WA,6230,South West,Home Care,,,,Life Without Barriers,Community Based,Inner Regional Australia,-33.34265,115.64105
Life Without Barriers Kalgoorlie,"Suite 8, 35 Brookman Street",,KALGOORLIE,WA,6430,Goldfields,Home Care,,,,Life Without Barriers,Community Based,Outer Regional Australia,-30.744141,121.47473
Life Without Barriers Manjimup,"Unit 1, 30-32 Rose Street",,MANJIMUP,WA,6258,South West,Home Care,,,,Life Without Barriers,Community Based,Outer Regional Australia,-34.24191,116.145041
Life Without Barriers Bunbury,183 Spencer Street,,BUNBURY,WA,6230,South West,Home Care,,,,Life Without Barriers,Community Based,Inner Regional Australia,-33.34265,115.64105
My Place Foundation Inc,17 York Street,,SUBIACO,WA,6008,Metropolitan North,Home Care,,,,My Place WA LTD,Charitable,Major Cities of Australia,-31.946557,115.835106
Care Net Home Care Services,15 A Glyde Street,,MOSMAN PARK,WA,6012,Metropolitan North,Home Care,,,,Care Net Community Nursing Pty Ltd,Private Incorporated Body,Major Cities of Australia,-32.007075,115.759234
Life Without Barriers Kununurra,10 Coolibah Drive,,KUNUNURRA,WA,6743,Kimberley,Home Care,,,,Life Without Barriers,Community Based,Very Remote Australia,-15.777111,128.73345
Adventist Care,Rossmoyne Waters Res Care,31 Webb Street,ROSSMOYNE,WA,6148,Metropolitan South East,Home Care,,,,Seventh-Day Adventist Care (Western Australia) Ltd,Charitable,Major Cities of Australia,-32.045747,115.865431
Home Care Packages,"Level 1, 40 Subiaco Square Road",,SUBIACO,WA,6008,Metropolitan North,Home Care,,,,Alzheimer's Australia WA Ltd,Charitable,Major Cities of Australia,-31.945087,115.823764
Riverview Residence Collie (Inc),3-5 Vernon Street,,COLLIE,WA,6225,South West,Home Care,,,,The Riverview Residence Collie (Inc),Community Based,Inner Regional Australia,-33.350413,116.163197
WA Country Health Service Midwest STRC,51-85 Shenton Street,,GERALDTON,WA,6531,Mid West,Short Term Restorative Care (STRC),,,15,WA Country Health Service,State Government,Outer Regional Australia,-28.783386,114.611335
Life Without Barriers Busselton,72 Duchess Street,,BUSSELTON,WA,6280,South West,Home Care,,,,Life Without Barriers,Community Based,Inner Regional Australia,-33.648791,115.34629
Enrich Living Services - Metro North,"Level 1, 27-31 Troode Street",,WEST PERTH,WA,6005,Metropolitan East,Short Term Restorative Care (STRC),,,14,MyHomecare Pty Ltd,Private Incorporated Body,Major Cities of Australia,-31.943627,115.844776
Enrich Living Services - South Metro,"Level 1, 27-31 Troode Street",,WEST PERTH,WA,6005,Metropolitan East,Short Term Restorative Care (STRC),,,32,MyHomecare Pty Ltd,Private Incorporated Body,Major Cities of Australia,-31.943627,115.844776
Programmed Care - WA,47 Burswood Road,,BURSWOOD,WA,6100,Metropolitan South East,Home Care,,,,Programmed Health Professionals Pty Ltd,Private Incorporated Body,Major Cities of Australia,-31.967828,115.891894
MSWA,2 Parkhill Way,,WILSON,WA,6107,Metropolitan South East,Home Care,,,,The Multiple Sclerosis Society of Western Australia Incorporated,Community Based,Major Cities of Australia,-32.014442,115.90339
Juniper - A Uniting Church Community - Marlgu Village,27 Coverley Street,,WYNDHAM,WA,6740,Kimberley,National Aboriginal and Torres Strait Islander Aged Care Program,,15,,Uniting Church Homes,Religious,Very Remote Australia,-15.487392,128.12051
Juniper - A Uniting Church Community - Ngamang Bawoona,32 Sutherland Street,,DERBY,WA,6728,Kimberley,National Aboriginal and Torres Strait Islander Aged Care Program,17,,,Uniting Church Homes,Religious,Very Remote Australia,-17.309831,123.652601
Auscare Staffing Agency Pty Ltd,184- A Shepperton Road,,VICTORIA PARK,WA,6100,Metropolitan South East,Home Care,,,,AUSCARE Staffing Agency Pty Ltd,Private Incorporated Body,Major Cities of Australia,-31.977871,115.90345
Yaandina Community Services NATSIFACP,51 Hampton Street,,ROEBOURNE,WA,6718,Pilbara,National Aboriginal and Torres Strait Islander Aged Care Program,,15,,Yaandina Community Services Limited,Community Based,Remote Australia,-20.776342,117.144021
Wagin Homecare,2 Arthur Road,,WAGIN,WA,6315,Wheatbelt,Home Care,,,,Shire Of Wagin,Local Government,Outer Regional Australia,-33.310564,117.33886
My At Home Care,70 A Mahogany Drive,,HALLS HEAD,WA,6210,Metropolitan South West,Home Care,,,,My At Home Care Pty Ltd,Private Incorporated Body,Major Cities of Australia,-32.549751,115.699863
Just Better Care Perth,"Unit 1, Level 1, 2 Burgay Court",,OSBORNE PARK,WA,6017,Metropolitan North,Home Care,,,,Just Better Care Australia Pty Ltd,Private Incorporated Body,Major Cities of Australia,-31.907097,115.801494
The Queenslea,2 Shenton Road,,CLAREMONT,WA,6010,Metropolitan North,Residential,134,,,Oryx Communities AP Pty Ltd,Private Incorporated Body,Major Cities of Australia,-31.980731,115.78003
South West Aboriginal Medical Service,"Unit 5, 55 Forrest Avenue",,BUNBURY,WA,6230,South West,Transition Care,,,15,Government of Western Australia,State Government,Inner Regional Australia,-33.3399621,115.6439115
Broome Regional Aboriginal Medical Service,2 Dora Street,,BROOME,WA,6725,Kimberley,Transition Care,,,15,Government of Western Australia,State Government,Remote Australia,-17.961537,122.229753
Southern Cross Care - WA,15 Rowe Avenue,,RIVERVALE,WA,6103,Metropolitan South East,Short Term Restorative Care (STRC),,,12,Southern Cross Care (WA) Inc,Religious,Major Cities of Australia,-31.95686,115.90428
Geraldton Regional Aboriginal Medical Service,60 Rifle Range Road,,RANGEWAY,WA,6530,Mid West,Transition Care,,,15,Government of Western Australia,State Government,Outer Regional Australia,-28.785005,114.629143
Karingal Green Home Care,53 Hawkevale Road,,HIGH WYCOMBE,WA,6057,Metropolitan East,Home Care,,,,"Karingal Green Health, Aged and Community Care (WA) Pty Ltd",Private Incorporated Body,Major Cities of Australia,-31.9344409,116.0127309
Broome Regional Aboriginal Medical Service,2 Dora Street,,BROOME,WA,6725,Kimberley,Home Care,,,,Broome Regional Aboriginal Medical Service,Community Based,Remote Australia,-17.961537,122.229753
Juniper Community Care - Kimberley,1 coolibah Drive,,Kununurra,WA,6743,Kimberley,National Aboriginal and Torres Strait Islander Aged Care Program,,21,,Uniting Churcn Homes t/a Juniper,Religious,Very Remote Australia,-15.776385,128.732796
